,onetsoc_code,element_id,scale_id,data_value
385,11-2021.00,4.A.4.a.5_LV,LV,2.21
386,11-2021.00,4.A.4.a.6_IM,IM,4.27
387,11-2021.00,4.A.4.a.6_LV,LV,5.43
388,11-2021.00,4.A.4.a.7_IM,IM,3.68
389,11-2021.00,4.A.4.a.7_LV,LV,4.94
390,11-2021.00,4.A.4.a.8_IM,IM,2.81
391,11-2021.00,4.A.4.a.8_LV,LV,3.07
392,11-2021.00,4.A.4.b.1_IM,IM,3.9699999999999998
393,11-2021.00,4.A.4.b.1_LV,LV,4.83
394,11-2021.00,4.A.4.b.2_IM,IM,4.08
395,11-2021.00,4.A.4.b.2_LV,LV,4.26
396,11-2021.00,4.A.4.b.3_IM,IM,3.14
397,11-2021.00,4.A.4.b.3_LV,LV,3.34
398,11-2021.00,4.A.4.b.4_IM,IM,3.84
399,11-2021.00,4.A.4.b.4_LV,LV,4.23
400,11-2021.00,4.A.4.b.5_IM,IM,3.36
401,11-2021.00,4.A.4.b.5_LV,LV,3.74
402,11-2021.00,4.A.4.b.6_IM,IM,3.18
403,11-2021.00,4.A.4.b.6_LV,LV,4.34
404,11-2021.00,4.A.4.c.1_IM,IM,2.59
405,11-2021.00,4.A.4.c.1_LV,LV,2.95
406,11-2021.00,4.A.4.c.2_IM,IM,2.25
407,11-2021.00,4.A.4.c.2_LV,LV,2.18
408,11-2021.00,4.A.4.c.3_IM,IM,3.18
409,11-2021.00,4.A.4.c.3_LV,LV,3.85
410,11-2022.00,4.A.1.a.1_IM,IM,3.96
411,11-2022.00,4.A.1.a.1_LV,LV,4.52
412,11-2022.00,4.A.1.a.2_IM,IM,2.7
413,11-2022.00,4.A.1.a.2_LV,LV,2.91
414,11-2022.00,4.A.1.b.1_IM,IM,3.35
415,11-2022.00,4.A.1.b.1_LV,LV,3.74
416,11-2022.00,4.A.1.b.2_IM,IM,2.13
417,11-2022.00,4.A.1.b.2_LV,LV,1.78
418,11-2022.00,4.A.1.b.3_IM,IM,3.17
419,11-2022.00,4.A.1.b.3_LV,LV,3.13
420,11-2022.00,4.A.2.a.1_IM,IM,3.3
421,11-2022.00,4.A.2.a.1_LV,LV,3.96
422,11-2022.00,4.A.2.a.2_IM,IM,3.65
423,11-2022.00,4.A.2.a.2_LV,LV,4.18
424,11-2022.00,4.A.2.a.3_IM,IM,2.96
425,11-2022.00,4.A.2.a.3_LV,LV,3.22
426,11-2022.00,4.A.2.a.4_IM,IM,3.91
427,11-2022.00,4.A.2.a.4_LV,LV,4.74
428,11-2022.00,4.A.2.b.1_IM,IM,4.09
429,11-2022.00,4.A.2.b.1_LV,LV,5.26
